video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=HmKKy0zD-uw&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl0gcJCcUKAYcqIYzv,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,472K,6 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-03-16 20:22:47.307018
/watch?v=cnn4MZZ5H_A&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@idkpayton,payton!,a day in the life of a university of washington student 💜 | mcmahon hall dorm tour!,28K,2 years,big thank you to quinlan for taking me along with him to uni for the day and emberlee for showing me her dorm in mcmahon hall!!,2026-03-16 20:22:47.308534
/watch?v=yaTHRtpWtxs&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@ryankw0n,Ryan Kwon,A Day in the Life of a University of Wisconsin-Madison Student,57K,3 years,"Follow me as I demonstrate a pretty typical day in the life of a college student enrolled at UW-Madison! As you'll hear, I was ...",2026-03-16 20:22:47.309657
/watch?v=Crc8BhZ0WcQ&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@NataliaReneee,Natalia Renee,Day in the Life as a Freshman at The University of Washington! *2025*,7.1K,11 months,spend a day with me to get insight on what it's like attending the University of Washington   socials: insta: @nataliarnandez I ...,2026-03-16 20:22:47.310653
/watch?v=h3Km-5cbHM4&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@MichelNadia,Michel Nadia,first day of school | University of Washington,10K,2 years,"This is a very short video, but I just wanted to show you guys how my first day went, and I will definitely post more about UW in the ...",2026-03-16 20:22:47.311827
/watch?v=irEz8lziGgU&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@nancyhe,Nancy He 何南希,"DAY IN THE LIFE @ University of Washington (1st day of winter quarter, working part-time, senior yr)",853,2 months,"dayinthelife #universityofwashington #collegevlog #uw #vlog Yay, in this video, I vlogged an entire day as a University of ...",2026-03-16 20:22:47.312844
/watch?v=k9lpkFQRjw4&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@TimothyJoo,Tim Joo,UW Seattle | Day in the Life of a Freshman: Exploring the City,4K,7 years,One of my closest friend Kaoru comes to Seattle to visit! We went out into the city and explored what it had to offer! Super fun day ...,2026-03-16 20:22:47.313793
/watch?v=111QfcLfRPI&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@AnaPaulaAlcantar,Ana Paula Alcantar,DAY IN THE LIFE AT UW-MADISON | college freshman | college diaries ep. 15,6.7K,1 year,For all of you looking to possibly come to uw-madison or for those of you who are just pumped to be coming here soon...I hope this ...,2026-03-16 20:22:47.315254
/watch?v=imvhp7RWuG8&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@dobochobo,dobochobo,"college life vlog 🌸☔️ spring classes, cherry blossoms, & tips from a UW student!",471K,3 years,click on the link to shop my glasses and get 65% off your first pair! https://glassesusa.me/Dobochobo_GlassesUSA Ottoto Bellona: ...,2026-03-16 20:22:47.316279
/watch?v=VNd2o9KntO0&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@aylahandmorgan,Aylah & Morgan,College Day in My Life | as a freshman at uw-madison,1.2K,4 months,Come with me on a typical day in my life at the University of Wisconsin - Madison! Music Credits massobeats - gift massobeats ...,2026-03-16 20:22:47.317274
/watch?v=g--93OS0498&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl0gcJCcUKAYcqIYzv,/@nancyhe,Nancy He 何南希,DAY IN MY LIFE @ the University of Washington // freshman,38K,3 years,"dayinthelife #universityofwashington #collegevlog welcome everyone to, I think, my favorite video I've ever filmed/edited ever!",2026-03-16 20:22:54.347580
/watch?v=TQHy6-inRTo&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@andreakaeee,andrea kae,seattle diaries | A day in the life of a UW student,7.6K,4 years,"episode 3 - Hi Everyone! Welcome back to another video! For this video, I show you guys a day in my life as a UW student. This is ...",2026-03-16 20:22:54.353512
/watch?v=wk8X2giqWM0&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@KiaraMadisen,Kiara Madisen,"Life as a UW Student in Seattle, WA | ft. Kam Schalk",76K,4 years,Finally got to live out my dream of exploring life as a student at my rival university! Kam and I reunite for the best 24 hour trip full of ...,2026-03-16 20:22:54.354884
/watch?v=o93hlPE3mr0&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@HereBeBarr,Jon Barr,"3 Days in America’s Best College Town - Madison, Wisconsin",78K,1 year,"We'll Visit Madison, Wisconsin America's Best Kept Secret and Top College Town and give you a full 3-Day Itinerary of the Top ...",2026-03-16 20:22:54.362801
/watch?v=ahbr-CNHVqo&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@_ethan_hong,Ethan Hong,Day in the Life of a University Student (Western Washington University),1K,11 months,"Thanks for watching, subscribe for more content!",2026-03-16 20:22:54.371324
/watch?v=cM7fy3DKUj4&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@sammyj3232,Sammy J,A Day in My Life as a Freshman at UW-Madison | Finals as a Mechanical Engineer,3.3K,6 years,Today I take you through a normal day in my life as a Mechanical Engineer during the finals season at UW-Madison. It involves a ...,2026-03-16 20:22:54.372565
/watch?v=tA7YC7bLFHg&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@idkpayton,payton!,a day in the life of a sophomore at the university of washington 💜 | alder hall dorm tour,1.1K,1 year,I followed quinlan around on another day in his life as a sophomore at the university of washington + visited chloe's dorm room at ...,2026-03-16 20:23:01.521155
/watch?v=kAEqpRrrl18&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@alexnishi,Alex Nishi,Day in the Life of a WWU Freshman | Western Washington University Vlog,5.4K,2 years,"dorm life; classes; student life; Thank you for watching, subscribe? ❤️ - I do not own any of the music played in this video, ...",2026-03-16 20:23:01.522550
/watch?v=6oSQUaR1C1Q&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@TiffanyBluee,Tiffany Blue,WASHU DAY IN MY LIFE,9.4K,1 year,"Hi guys! In this video, I go over the pros and cons of Washington University in St. Louis. I am currently a first-year student there ...",2026-03-16 20:23:01.523838
/watch?v=grV2rONv_fY&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@surabhisyt,surabhi,COLLEGE DORM MOVE IN VLOG @ university of washington *freshman year*,8.3K,1 year,"hey guys! so sorry for how delayed this video is, i've been really busy with college however, i still wanted to share it with you ...",2026-03-16 20:23:01.524979
/watch?v=etRZCmYa1bw&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@dobochobo,dobochobo,first week of college 🍵☔️ as a senior @ university of washington!,188K,2 years,"check out SigmaOS https://go.sigmaos.com/dobochobo a week of settling in, trying to get back into the groove of college life, ...",2026-03-16 20:23:01.526207
/watch?v=E0QMsun-4Tc&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@uwstoutvideos,University of Wisconsin-Stout,Day in the Life as a UW-Stout Student,5K,2 years,"Not everyone's day looks like this of course, but your college experience could look really similar! More of these videos to come!",2026-03-16 20:23:01.528157
/watch?v=pM60H-zyOmY&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@KmoneyTooClever,KmoneyTooClever,Day in the Life of a College Student… | University of Washington,25K,1 year,"Day in the life of a College student and an Entrepreneur… I hope y'all enjoyed the video, if you enjoyed the video... like, if you ...",2026-03-16 20:23:01.529402
/watch?v=eArtrDFSF24&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@TaylorQuynh,Taylor Quynh,Pros and Cons of the University of Washington,61K,5 years,A quick video on some of the pros and cons I've found at the UW over the past two years. Please make sure to like and subscribe!,2026-03-16 20:23:01.531184
/watch?v=jdog9wTINbk&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@AnaPaulaAlcantar,Ana Paula Alcantar,COLLEGE MOVE IN DAY!! | uw-madison | college diaries ep. 6,8.5K,2 years,"At the time I'm writing this, it still feels like I'm at summer camp and am going home soon but I'm actually staying here for 9 months ...",2026-03-16 20:23:01.532349
/watch?v=jW_aLch4NVg&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@SeattlestheCity4K,Seattle's the City! Walking Tours and Events,4K UW Campus Walking Tour | University of Washington First Day of School 2025 #seattle #fall #uw,1.1K,5 months,Join me for a 4K walking tour of the University of Washington (UW) campus in Seattle on the first day of school 2025!,2026-03-16 20:23:01.534602
/shorts/E7g-wgrjolM,/@Marsehlus,Marsehlus,DAY IN MY LIFE as a UW Student #godawgs,1.1K,1 year,socials ☆ https://twitter.com/marsehlus ☆ https://www.instagram.com/mjsdng/ ☆ https://www.tiktok.com/@marsehlus ...,2026-03-16 20:23:01.535782
/watch?v=4-qKi0GCqEM&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@christineelee,christine lee,a week in my life at the university of washington !! :)),36K,5 years,"hello !! i'm christine, a freshman at uw studying business administration :)) who knew that the week that i filmed this would be the ...",2026-03-16 20:23:01.536916
/watch?v=YuZoOPDreHs&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@haleygraceh,haley grace,a day in the life of a uw-madison college senior :)),727,3 years,"here's a video of a day in my life/a day in the life of a uw-madison college senior. i'm majoring in business marketing and english, ...",2026-03-16 20:23:01.540375
/watch?v=LjkxivvFewI&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@ejaaym,ej,"college day in my life | winter quarter @ uw seattle ♡ classes, PSA & more",1.5K,1 year,and we are back in 2025 ;) spend a day with me during week 2 of winter quarter at uw seattle! INSTA: ​@ enricajac TIKTOK: ...,2026-03-16 20:23:01.542707
/watch?v=ht8ObQN751Y&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@brianbae4020,Brian Bae,Day In My Life at The University of Washington,135K,7 years,This is what happens in a typical day in my life at UW! Welcome to my Channel! I'm Brian and I'm a sophomore at the University of ...,2026-03-16 20:23:01.543936
/shorts/c5P1vBPljgE,/@WisconsinAlumniAssociation,Wisconsin Alumni Association,First day of classes at UW–Madison,2.8K,6 months,The fall semester has officially begun! We love seeing Badgers back on campus ready to embrace a new school year!,2026-03-16 20:23:09.063694
/watch?v=7evBQlMHVf0&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@NandanV,Nandan V,5 Reasons NOT TO GO to UW MADISON || COLLEGE ADVICE,38K,3 years,Want to know why you should not go to UW Madison? I wondered the same thing when weighing the pros and cons before ...,2026-03-16 20:23:09.073246
/watch?v=T7T87LRNJg8&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@DanhLuong,Danh Luong,A day in my life at the University of Washington | Computer Science major | Cherry Blossom at UW,40K,3 years,[ENGSUB] [VIETSUB] I went back to the University of Washington to meet up with some friends and enjoy student life once again.,2026-03-16 20:23:09.074943
/shorts/dhRSuo1kJgQ,/@UWGBofficial,University of Wisconsin-Green Bay,UW-Green Bay Day in the Life: Marketing Major,1.1K,1 year,Spend a day in the life with University of Wisconsin-Green Bay student Kierah. : kierah_hietala via TikTok.,2026-03-16 20:23:09.076136
/watch?v=IBpekRtvc88&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@AnaPaulaAlcantar,Ana Paula Alcantar,"UW MADISON DAY IN MY LIFE | media day, morning runs, healthy habits",664,5 months,spend a few days with me throughout my first weeks as a junior at UW-Madison! enjoy! visit my storefront to see all my favs!,2026-03-16 20:23:09.079094
/watch?v=9B1rQEA0d5I&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@leoliu6786,Leo Liu,Day in a Life of a UW Madison Student (17 Credits),3.8K,3 years,"Hello, This is my first video. I woke up one day and felt like filming my day. I hope you enjoy it and let me know if there is anything I ...",2026-03-16 20:23:09.081386
/watch?v=SL2UShYOamc&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@lucylee13,Lucy Lee,"week in my life as a UW grad student | msw classes, internship, seattle vlog",4.5K,1 year,"shop my favorite long-lasting, affordable jewelry starting at $39! Click here: https://shop.analuisa.com/mb-lucylee #analuisany ...",2026-03-16 20:23:09.082455
/shorts/8LswxD-ckeU,/@ultimateivyleagueguide,Elise Pham,HARVARD PRE-MED *REALISTIC* DAY-IN-MY-LIFE,6.1M,2 years,Brutally realistic Harvard finals week! • Don't miss out on the Ultimate Ivy League Guide Holiday Sale – 50% off ALL EBOOKS ...,2026-03-16 20:23:09.083623
/watch?v=m2dt3yYsafo&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@UWMedicineHealth,UW Medicine,"A Day In The Life: UW Neighborhood Ravenna Clinic's Lucy Hwang, M.D.",1.1K,7 years,"A Day In The Life: UW Neighborhood Ravenna Clinic's Lucy Hwang, M.D..",2026-03-16 20:23:09.085498
/watch?v=da_WzbVC7WA&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@universityofwashington,UW (University of Washington),A day in the life in Omak,1.9K,9 years,"During spring break, UW undergrads traveled to Omak, WA, to teach literacy arts to students on the Colville Indian Reservation.",2026-03-16 20:23:09.087061
/shorts/Cb3Xrujo7ig,/@Pakskimo,Pakskimo,A day in the life of an UW Med Lab student 🫢,4K,1 year,My favorite class is labs! How about you?,2026-03-16 20:23:09.090658
/watch?v=miO5fPKBNSI&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@dobochobo,dobochobo,COLLEGE MOVE IN DAY // freshman @ university of washington!,933K,4 years,"the day has finally come! a semi-anticlimactic vlog of the first step in my ""adulting"" (if this even counts haha) life. me? adult? who ...",2026-03-16 20:23:09.092203
/watch?v=zZ0VNESpyjQ&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@universityofwashington,UW (University of Washington),UW Move-in Day 2016,16K,9 years,Follow along as some of the #NewsHuskies2016 move into University of Washington residence halls for the first time and meet ...,2026-03-16 20:23:09.093356
/shorts/77uIfXNiI4g,/@uwmadisoneducation,UW–Madison School of Education,A Day in the Life | UW–Madison School of Education | Department/Program.,220,10 days,See the latest news and updates » https://www.education.wisc.edu Subscribe to our channel ...,2026-03-16 20:23:09.096884
/watch?v=p8x79O2-qm8&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@TavinZeise,Tav the Engineer,Busy Day in the Life of an Engineering Student | UW Madison,1.5K,1 year,"Welcome to a busy Monday in my life as a mechanical engineering student! Today started off with some study time for my lab, ...",2026-03-16 20:23:09.098042
/watch?v=dQEdsdUT6Ao&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@uwstoutvideos,University of Wisconsin-Stout,"UW-Stout Grad Day in the Life: Mary Cross ('19), Head Designer at DSG Outerwear",162,2 years,Hi all! My name is Mary Cross & I graduated from UW Stout in 2019 with a BS in Apparel Design & Development (now Fashion ...,2026-03-16 20:23:17.355890
/watch?v=jaar8ig3FFQ&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@emilysfitnessacc,EMILY | FITNESS & LIFESTYLE CONTENT,DAY IN THE LIFE OF A UNIVERSITY OF WASHINGTON SENIOR/UW TOUR ♡,94,2 years,hi guys! here's a day in my life at the University of Washington. i'm currently a senior studying biology. follow along for a quick tour ...,2026-03-16 20:23:17.359349
/watch?v=dX-m_FnrOew&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@universityofwashington,UW (University of Washington),How A UW Crew Member Trains and Studies,2.1K,6 years,"Last year, standout high school athlete Hallie Jensen had never rowed — but now she's competing on the UW's Division I crew ...",2026-03-16 20:23:17.360745
/watch?v=Rwqao193Ytk&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@ashleighchristy,Ashleigh Christy,Weekend In My Life! UW-Madison game day!,1.1K,2 years,Weekend In My Life! UW-Madison game day! #uwmadison Super chill but fun weekend in my life at the University of Wisconsin ...,2026-03-16 20:23:17.363642
/watch?v=7NpFjt8hP9s&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@dineosdailyadvice,Dineo Lyle,Productive Day in My Life || College Student at UW Madison,217,3 years,"Come along with me for a productive Saturday of doing laundry, studying for finals, and more. Hope you enjoy the video and don't ...",2026-03-16 20:23:17.364763
/watch?v=p-zIwRbQa2E&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@TimothyJoo,Tim Joo,UW Seattle | Day in the Life of a Freshman: Last Day of Freshman Year,1.5K,7 years,My last day of freshman year at UW Seattle! Very fun and exciting day with some amazing people that I love to death! GEAR I USE: ...,2026-03-16 20:23:17.366908
/watch?v=5BMMDBXI8oI&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@uwsathletics,UW-Superior Athletics,Day in The Life: Jon Garver - UWS UW-Superior Athletics,347,3 years,Day in The Life: Jon Garver - UWS UW-Superior Athletics.,2026-03-16 20:23:17.369572
/watch?v=5Iw4M9XHIKc&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@haliijama,Hali Jama 🍵 ,College move in day @ UW,3.4K,1 year,"Hey, beautiful people ♡ It's move in dayyy!! I had a bit of chaotic but I am so happy to be back on campus! Last year of univeristy ...",2026-03-16 20:23:17.373133
/watch?v=d0lkEwGs00Y&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@BadgerTrumpet,Lizzi Alstad,UW Marching Band: A (Game) Day In The Life Of,10K,15 years,"The Wisconsin Badgers victory over the then #1-ranked Ohio State Buckeyes during the 2010 season, as experienced by the UW ...",2026-03-16 20:23:17.376278
/watch?v=thnhfZK3sn8&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@thevybolinproject3488,The Vybolin Project (Paige),A Day in the Life of a UW Freshman,471,5 years,"Hello again, Vyber Army! I recently posted a poll on my insta story asking what y'all would like to see for today's video, and the ...",2026-03-16 20:23:17.377442
/watch?v=g9diDknSHF4&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@AnaPaulaAlcantar,Ana Paula Alcantar,a week in my life @ uw-madison | freshman year | college diaries ep. 8,3.4K,2 years,one of MANY week in my life videos! I tried to include some clips of me outside of my dorm room but I am still getting used to ...,2026-03-16 20:23:17.380965
/watch?v=ikYTTulyAo8&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl0gcJCcUKAYcqIYzv,/@uwalumnivideo,Wisconsin Alumni,"A Day in the Life at UW-Madison, 1966",345,12 years,"In May 1963, UW-Madison faculty gave Milwaukee-area high school student (and state science fair winner) Richard Meyst an ...",2026-03-16 20:23:17.382328
/shorts/L7MUMJQ4wzk,/@UWGBofficial,University of Wisconsin-Green Bay,Day in the life at UW-Green Bay,1K,1 year,Spend a day in the life at UWGB with a first-year student! : Aengus via LifeAtUWGB Instagram account ...,2026-03-16 20:23:17.384765
/watch?v=ZbLoY0W5O8Q&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@UWMadisonSocialWork,UW-Madison Sandra Rosenbaum School of Social Work,Social Work Perspectives: UW-Madison MSW Student Abi Nass,588,14 years,"UW-Madison School of Social Work Masters student Abi Nass discusses UW's MSW program, the day-to-day life of a social work ...",2026-03-16 20:23:17.388417
/watch?v=kzRhMsiPGhI&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@NandanV,Nandan V,a day in the life at uw madison but it's cringe af,854,3 years,"the first day in the life at uw Madison video I ever made was in September 2018 on a completely different channel (don't look, ...",2026-03-16 20:23:17.389681
/watch?v=71HiE89aD5M&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@universityofwashington,UW (University of Washington),UW Move-in Day 2018,7.5K,7 years,Meet some of the #NewHuskies2018 moving into University of Washington residence halls for the first time and meet their ...,2026-03-16 20:23:17.390964
/watch?v=sXblfRYLrHc&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@supermonkeydog206,SuperMonkeyDog,Working out at the IMA | Day in the Life UW Vlog,857,2 years,Strong Asian Bois.,2026-03-16 20:23:17.392182
/watch?v=cN-iNgNXmq4&pp=ygUSVVcgZGF5IGluIHRoZSBsaWZl,/@ZENELE.B,ZENELE B,A day in the life College vlog | UW-Madison Mifflin | Howard Homecoming |,744,2 years,Welcome to my channel   New Video Every Week... SUBSCRIBE Amazon Storefront: ...,2026-03-16 20:23:17.393361
