video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=APu1Fhc-Z1I&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@purpleguac,Purple Guac,WORST Things About University of Washington,70K,5 years,"UW Talks Episode 2. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-03-16 20:15:50.899610
/watch?v=D4R-YZ-VZhQ&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,165K,7 years,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2026-03-16 20:15:50.901188
/watch?v=WzJc75S-LzY&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,148K,10 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2026-03-16 20:15:50.905166
/watch?v=klDLZ6mAS1k&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,74K,3 years,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2026-03-16 20:15:50.906852
/watch?v=HmKKy0zD-uw&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,472K,6 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-03-16 20:15:50.908553
/watch?v=FrSo54QK098&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@UWcas,UW College of Arts & Sciences,Living and Learning in Seattle,1K,4 months,"Seattle, Washington and the surrounding region are a significant part of our story in the College of Arts & Sciences. With its rich ...",2026-03-16 20:15:50.910175
/watch?v=AGD6rTFmwfs&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@universityofwashington,UW (University of Washington),Ask UW Admissions! Six frequent admissions questions answered,3.3K,2 weeks,"In this video, Paul Seegert, Director of Admissions for the University of Washington's campus in Seattle, answers six commonly ...",2026-03-16 20:15:50.913676
/watch?v=z87eMMrftLU&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Cameras capture UW football players assaulting bicyclist | FOX 13 Seattle,1.9M,1 year,Newly released video shows the moment two former University of Washington football players assaulted a bicyclist in what Seattle ...,2026-03-16 20:15:50.917767
/watch?v=f_6opswUTtY&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@purpleguac,Purple Guac,UW TALKS: What You Need to Know About the University Of Washington,20K,5 years,"UW Talks Episode 1. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-03-16 20:15:50.919232
/watch?v=l7QcjMv3LsY&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@POVTrips,POV Trips,University of Washington Tour | UW Campus Tour | Seattle POV Walk in 4K,3.8K,3 months,Discover the stunning University of Washington campus in Seattle in this 4K POV walking tour with natural ambient sound and no ...,2026-03-16 20:15:50.920409
/watch?v=Crc8BhZ0WcQ&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@NataliaReneee,Natalia Renee,Day in the Life as a Freshman at The University of Washington! *2025*,7.1K,11 months,spend a day with me to get insight on what it's like attending the University of Washington   socials: insta: @nataliarnandez I ...,2026-03-16 20:15:50.921639
